站号,站名,省份,经度,纬度,测站海拔
59053,平乐,广西,110.67,24.62,157.6
59055,荔浦,广西,110.4,24.5,165.7
59057,金秀,广西,110.18,24.13,830.9
59058,蒙山,广西,110.52,24.2,181.9
59059,昭平,广西,110.8,24.18,105.8
59061,富川,广西,111.27,24.82,193.1
59063,江华,湖南,111.45,25.18,265.7
59064,钟山,广西,111.32,24.55,168.0
59065,贺州,广西,111.53,24.42,148.7
59071,连南,广东,112.28,24.73,174.3
59072,连州,广东,112.37,24.8,131.7
59074,连山,广东,112.15,24.57,300.6
59075,阳山,广东,112.63,24.48,70.5
59081,乳源,广东,113.27,24.78,131.1
59082,韶关,广东,113.6,24.67,121.3
59087,佛冈,广东,113.52,23.88,97.2
59088,英德,广东,113.42,24.18,74.4
59090,始兴,广东,114.07,24.95,143.9
59091,全南,江西,114.53,24.75,277.1
59092,龙南,江西,114.82,24.92,250.2
59093,定南,江西,115.03,24.78,253.0
59094,翁源,广东,114.12,24.35,184.1
59096,连平,广东,114.48,24.37,283.9
59097,新丰,广东,114.2,24.05,199.3
59099,和平,广东,114.93,24.45,173.7
59102,寻乌,江西,115.65,24.95,303.9
59106,平远,广东,115.9,24.58,200.8
59107,龙川,广东,115.25,24.1,179.6
59109,兴宁,广东,115.73,24.15,123.6
59113,永定,福建,116.72,24.73,226.9
59114,蕉岭,广东,116.17,24.65,135.7
59116,大埔,广东,116.7,24.33,80.1
59117,梅县（梅州）,广东,116.1,24.27,116.0
59122,长泰,福建,117.75,24.62,43.0
59124,南靖,福建,117.37,24.52,53.7
59125,平和,福建,117.3,24.38,108.5
59126,漳州,福建,117.65,24.5,28.9
59127,龙海,福建,117.83,24.43,32.1
59129,漳浦,福建,117.6,24.13,61.1
59130,同安,福建,118.15,24.73,30.8
59131,南安,福建,118.37,24.97,172.8
59133,崇武,福建,118.92,24.9,21.8
59134,厦门,福建,118.07,24.48,139.4
59137,晋江,福建,118.57,24.82,135.0
59205,富宁,云南,105.63,23.65,685.8
59209,那坡,广西,105.83,23.42,855.8
59211,百色,广西,106.6,23.9,174.7
59213,田阳,广西,106.92,23.73,133.0
59215,德保,广西,106.62,23.33,680.0
59218,靖西,广西,106.45,23.1,724.7
59224,田东,广西,107.12,23.6,111.2
59227,天等,广西,107.15,23.08,454.2
59228,平果,广西,107.58,23.32,146.4
59229,隆安,广西,107.7,23.18,125.7
59230,马山,广西,108.17,23.72,219.0
59235,上林,广西,108.62,23.43,115.5
59237,武鸣,广西,108.28,23.17,155.3
59238,宾阳,广西,108.8,23.22,127.7
59241,象州,广西,109.7,23.98,124.3
59242,来宾,广西,109.17,23.73,96.7
59246,武宣,广西,109.67,23.6,70.0
59249,贵港,广西,109.57,23.05,57.1
59254,桂平,广西,110.08,23.4,130.3
59255,平南,广西,110.38,23.55,83.0
59256,藤县,广西,110.92,23.37,105.5
59264,封开,广东,111.5,23.4,83.6
59265,梧州,广西,111.3,23.48,114.8
59266,苍梧,广西,111.23,23.42,77.7
59268,郁南,广东,111.53,23.25,70.6
59269,德庆,广东,111.78,23.17,47.2
59270,怀集,广东,112.18,23.92,107.2
59271,广宁,广东,112.43,23.63,92.7
59276,四会,广东,112.65,23.35,40.1
59278,高要（肇庆）,广东,112.45,23.03,60.0
59279,三水,广东,112.87,23.18,24.0
59280,清远,广东,113.08,23.72,79.2
59284,花都,广东,113.23,23.42,38.9
59285,从化,广东,113.6,23.57,38.1
59287,广州,广东,113.48,23.22,70.7
59288,南海（佛山）,广东,113.13,23.05,30.1
59289,东莞,广东,113.73,22.97,56.0
59290,龙门,广东,114.23,23.73,85.5
59293,河源,广东,114.73,23.8,71.1
59294,增城,广东,113.83,23.33,30.7
59297,博罗,广东,114.28,23.18,50.2
59298,惠阳（惠州）,广东,114.42,23.08,108.5
59303,五华,广东,115.77,23.93,135.9
59304,紫金,广东,115.18,23.63,176.6
59306,揭西,广东,115.85,23.45,80.9
59310,丰顺,广东,116.18,23.77,45.3
59312,潮州,广东,116.63,23.67,60.7
59313,饶平,广东,116.98,23.68,44.7
59314,普宁,广东,116.13,23.3,28.6
59315,揭阳,广东,116.4,23.58,43.9
59316,汕头,广东,116.68,23.4,2.3
59317,惠来,广东,116.3,23.03,42.0
59318,潮阳,广东,116.58,23.27,6.7
59319,澄海,广东,116.83,23.43,4.1
59320,诏安,福建,117.13,23.77,37.8
59321,东山,福建,117.5,23.78,53.3
59322,云霄,福建,117.37,23.98,22.8
59324,南澳,广东,117.03,23.43,8.0
59417,龙州,广西,106.85,22.33,128.8
59419,凭祥,广西,106.75,22.1,348.7
59421,大新,广西,107.2,22.83,278.3
59425,崇左,广西,107.35,22.4,195.8
59426,扶绥,广西,107.9,22.63,146.1
59427,宁明,广西,107.07,22.12,168.4
59429,上思,广西,107.97,22.15,216.0
59431,南宁,广西,108.22,22.63,152.0
59432,南宁城区,广西,108.4,22.8,194.0
59435,邕宁,广西,108.45,22.68,106.9
59441,横县,广西,109.25,22.7,88.7
59446,灵山,广西,109.3,22.42,66.6
59448,浦北,广西,109.55,22.27,69.6
59449,博白,广西,109.98,22.3,85.9
59451,北流,广西,110.35,22.7,155.1
59452,容县,广西,110.53,22.85,131.5
59453,玉林,广西,110.17,22.65,121.6
59454,岑溪,广西,111.0,22.92,202.0
59456,信宜,广东,110.93,22.35,141.4
59457,陆川,广西,110.27,22.32,121.6
59462,罗定,广东,111.6,22.7,60.0
59469,阳春,广东,111.78,22.17,37.7
59470,新兴,广东,112.22,22.72,57.6
59471,云浮,广东,112.05,22.93,101.4
59473,鹤山,广东,112.97,22.77,47.3
59475,开平,广东,112.65,22.4,29.3
59476,新会（江门）,广东,113.03,22.53,36.3
59477,恩平,广东,112.3,22.18,69.3
59478,台山,广东,112.78,22.25,33.1
59480,顺德,广东,113.25,22.85,21.4
59481,番禺,广东,113.32,22.93,12.2
59485,中山,广东,113.4,22.5,33.7
59487,斗门,广东,113.3,22.23,23.1
59488,珠海,广东,113.57,22.28,51.4
59492,惠东,广东,114.73,22.97,85.0
59493,深圳,广东,114.0,22.53,63.0
59500,海丰,广东,115.32,22.97,45.6
59501,汕尾,广东,115.37,22.8,16.7
59502,陆丰,广东,115.65,22.95,32.0
59626,东兴,广西,107.97,21.53,56.8
59631,防城,广西,108.35,21.78,32.4
59632,钦州,广西,108.62,21.95,49.2
59635,防城港,广西,108.35,21.62,31.3
59640,合浦,广西,109.18,21.67,5.5
59644,北海,广西,109.13,21.45,12.8
59647,涠洲岛,广西,109.1,21.03,55.2
59650,遂溪,广东,110.25,21.4,29.7
59653,高州,广东,110.85,21.93,77.0
59654,廉江,广东,110.3,21.63,29.3
59655,化州,广东,110.62,21.65,31.9
59656,吴川,广东,110.82,21.4,27.3
59658,湛江,广东,110.3,21.15,53.4
59659,茂名,广东,110.92,21.75,33.5
59663,阳江,广东,111.97,21.83,90.3
59664,电白,广东,110.98,21.53,31.8
59668,青洲岛,广东,111.46,21.48,16.0
59673,上川岛,广东,112.77,21.73,21.9
59750,雷州,广东,110.07,20.97,33.6
59754,徐闻,广东,110.18,20.33,11.4
59755,新寮岛,广东,110.45,20.65,12.6
59757,琼山,海南,110.37,20.0,9.9
59758,海口,海南,110.25,20.0,63.5
59759,牛墩岛,广东,110.01,20.28,45.7
59838,东方,海南,108.62,19.1,7.6
59842,临高,海南,109.68,19.9,31.7
59843,澄迈,海南,110.0,19.73,31.4
59845,儋州,海南,109.58,19.52,169.0
59847,昌江,海南,109.05,19.27,98.1
59848,白沙,海南,109.43,19.23,215.6
59849,琼中,海南,109.83,19.03,250.9
59851,定安,海南,110.33,19.7,53.3
59852,翁田,海南,110.93,19.99,33.0
59854,屯昌,海南,110.1,19.37,118.3
59855,琼海,海南,110.48,19.22,23.3
59856,文昌,海南,110.75,19.62,21.7
59936,莺歌海盐场,海南,108.77,18.53,15.0
59940,乐东,海南,109.17,18.75,155.0
59941,五指山,海南,109.52,18.77,328.5
59945,保亭,海南,109.7,18.65,68.6
59948,三亚,海南,109.58,18.22,419.4
59951,万宁,海南,110.33,18.8,39.9
59954,陵水,海南,110.03,18.5,35.2
59981,西沙,海南,112.33,16.83,4.7
59985,珊瑚,海南,111.62,16.53,4.0
59997,南沙,海南,114.37,10.38,2.0
